,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,TrialState.COMPLETE,-291.24603271484375,2019-08-07 01:41:22.301486,2019-08-07 01:51:48.954065,32,0.4,6.519019512817796e-05,0.999,1.0,0.1664672261412471,2048,10,0,,-311.06134033203125,-343.7241516113281,-399.7247619628906,-332.3442687988281,-291.24053955078125,-291.24603271484375,,,,,,,,,,,,,,
1,1,TrialState.COMPLETE,-208.853759765625,2019-08-07 01:41:22.302885,2019-08-07 01:58:12.019611,256,0.1,2.4945421193251008e-08,0.999,0.9,0.001541473476191709,32,10,1,,-414.22686767578125,-389.82525634765625,-404.50042724609375,-324.5801696777344,-297.6353454589844,-357.54046630859375,-330.1059875488281,-264.3065185546875,-265.97064208984375,-279.90997314453125,-298.6163635253906,-295.04339599609375,-262.4154357910156,-266.6854248046875,-265.9985656738281,-248.66030883789062,-231.782958984375,-213.0914306640625,-208.853759765625,
2,2,TrialState.COMPLETE,-412.9873962402344,2019-08-07 01:51:48.957812,2019-08-07 02:00:20.977879,128,0.2,0.030142305558202694,0.9999,0.9,0.006921859910208607,2048,1,2,,-377.76263427734375,-368.13055419921875,-363.23614501953125,-409.59869384765625,-428.1700134277344,-412.9873962402344,,,,,,,,,,,,,,
3,3,TrialState.COMPLETE,-335.2561340332031,2019-08-07 01:58:12.023723,2019-08-07 02:10:56.968582,32,0.4,0.0027996081984870843,0.9,0.92,0.14557916623227773,128,1,3,,-188.4119415283203,-195.0709228515625,-168.84207153320312,-300.31903076171875,-212.02731323242188,-239.85391235351562,-196.1883087158203,-120.10042572021484,-205.5841064453125,-341.49261474609375,-319.5719299316406,-363.100830078125,-191.05197143554688,-267.56597900390625,-357.59368896484375,-250.96694946289062,-359.68304443359375,-275.3709411621094,-335.2561340332031,
4,4,TrialState.COMPLETE,-554.3046875,2019-08-07 02:00:20.982485,2019-08-07 02:15:08.251243,256,0.3,0.0029087355177892554,0.95,0.9,0.002029536243043473,16,1,4,,-296.348388671875,-335.1575012207031,-384.0470275878906,-382.08172607421875,-422.2659606933594,-451.617919921875,-357.6907043457031,-428.3663024902344,-494.30865478515625,-457.09393310546875,-417.37322998046875,-344.5948181152344,-510.15802001953125,-501.44036865234375,-460.69140625,-458.3199768066406,-511.7584533691406,-466.7494201660156,-516.4931640625,-554.3046875
5,5,TrialState.COMPLETE,-406.5869140625,2019-08-07 02:10:56.973404,2019-08-07 02:28:35.314453,64,0.4,7.99159708744152e-06,0.9,0.92,0.0040666950653938435,32,20,5,,-394.1188659667969,-237.0172576904297,-323.04058837890625,-344.0052795410156,-380.4510803222656,-278.11810302734375,-318.19329833984375,-405.75628662109375,-393.3564453125,-292.14337158203125,-388.5260925292969,-555.0665893554688,-431.9986877441406,-487.64569091796875,-393.4082336425781,-348.603759765625,-332.27081298828125,-423.62701416015625,-406.5869140625,
6,6,TrialState.PRUNED,-369.9104309082031,2019-08-07 02:15:08.256208,2019-08-07 02:17:44.392681,256,0.2,1.8577490784921672e-06,0.98,0.98,4.743412208473007e-05,256,1,6,,-356.4277648925781,-316.75347900390625,-369.9104309082031,,,,,,,,,,,,,,,,,
7,7,TrialState.PRUNED,-92.0435562133789,2019-08-07 02:17:44.596629,2019-08-07 02:22:32.853545,64,0.1,3.28515075473326e-06,0.995,0.9,0.025650834317709894,2048,5,7,,-224.5435028076172,-150.24642944335938,-92.0435562133789,,,,,,,,,,,,,,,,,
8,8,TrialState.PRUNED,-296.30865478515625,2019-08-07 02:22:33.055802,2019-08-07 02:25:20.565701,256,0.3,0.0004948403294040553,0.95,0.95,0.021569177143056173,32,10,8,,-222.85281372070312,-252.2958221435547,-296.30865478515625,,,,,,,,,,,,,,,,,
9,9,TrialState.COMPLETE,-368.77496337890625,2019-08-07 02:25:20.770775,2019-08-07 02:41:13.616668,32,0.1,9.803415118796231e-05,0.99,0.98,0.0006584970818505349,1024,20,9,,-262.4048156738281,-356.8362731933594,-377.26934814453125,-337.06005859375,-378.13629150390625,-357.8503112792969,-384.9687194824219,-292.6589660644531,-348.81658935546875,-305.4104309082031,-352.12139892578125,-368.77496337890625,,,,,,,,
10,10,TrialState.COMPLETE,-373.20391845703125,2019-08-07 02:28:35.322148,2019-08-07 02:46:24.025111,128,0.1,0.00037304247020458135,0.995,0.95,6.405419674802727e-05,256,30,10,,-421.21795654296875,-413.5563049316406,-364.13995361328125,-384.59234619140625,-375.8521423339844,-419.11138916015625,-398.83868408203125,-343.8332214355469,-305.74285888671875,-368.2336730957031,-415.94500732421875,-433.1573791503906,-369.855712890625,-410.42449951171875,-373.5973205566406,-373.20391845703125,,,,
11,11,TrialState.PRUNED,-107.9621353149414,2019-08-07 02:41:13.626757,2019-08-07 02:46:06.956223,128,0.2,1.6611627904686212e-06,0.999,0.95,0.0236462137620988,2048,5,11,,-331.2840270996094,-314.63470458984375,-107.9621353149414,,,,,,,,,,,,,,,,,
12,12,TrialState.COMPLETE,-350.46563720703125,2019-08-07 02:46:07.160364,2019-08-07 02:56:04.861735,32,0.1,0.00022904597735072302,0.999,0.8,1.1691175450600661e-05,2048,10,12,,-385.04119873046875,-243.55374145507812,-360.8983459472656,-368.56903076171875,-324.3797302246094,-350.46563720703125,,,,,,,,,,,,,,
