,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0,TrialState.COMPLETE,14.694341659545898,2019-08-07 01:41:22.093581,2019-08-07 01:47:36.637174,32,0.4,0.010130230408794483,0.999,0.95,0.1664672261412471,2048,5,0,,13.703900337219238,16.371362686157227,14.537567138671875,17.652986526489258,16.51323699951172,14.694341659545898,,,,,,,,,,,,,,,
1,1,TrialState.COMPLETE,-215.7837677001953,2019-08-07 01:41:22.094152,2019-08-07 01:49:11.224453,64,0.1,2.4945421193251008e-08,0.995,0.9,0.0003073781785362607,64,10,1,,-1.6499853134155273,-4.469583034515381,-8.28071403503418,-8.22818660736084,-8.388839721679688,-14.219151496887207,-14.60028076171875,-16.516204833984375,-38.986175537109375,-26.30757713317871,-41.262393951416016,-42.714752197265625,-50.54377365112305,-58.6739501953125,-34.13338851928711,-133.22817993164062,-248.0266571044922,-204.9019775390625,-215.7837677001953,,
2,2,TrialState.COMPLETE,-2.9601101875305176,2019-08-07 01:47:36.641752,2019-08-07 01:52:37.396704,128,0.2,0.030142305558202694,0.9999,0.9,0.006921859910208607,2048,1,2,,4.609288215637207,2.048826217651367,4.935293197631836,3.019592046737671,-1.5441176891326904,-2.9601101875305176,,,,,,,,,,,,,,,
3,3,TrialState.COMPLETE,-3.074868679046631,2019-08-07 01:49:11.228056,2019-08-07 01:54:37.518282,32,0.4,0.0027996081984870843,0.9,0.92,0.14557916623227773,128,1,3,,5.472853660583496,3.113624334335327,3.7416939735412598,16.835742950439453,-1.8390681743621826,-2.3912055492401123,0.04308776929974556,-11.004793167114258,-4.9754509925842285,-4.707834720611572,-0.4630708694458008,-15.515233039855957,-10.516573905944824,-11.4847993850708,-7.0313720703125,-6.567335605621338,-5.5123724937438965,-10.365522384643555,-3.074868679046631,,
4,4,TrialState.COMPLETE,-39.29615020751953,2019-08-07 01:52:37.401629,2019-08-07 01:58:47.601894,256,0.3,0.0029087355177892554,0.95,0.9,0.002029536243043473,16,1,4,,0.20669317245483398,-5.698491096496582,-11.127647399902344,-19.37563133239746,-16.61928939819336,-6.526480674743652,-10.499807357788086,-9.623682975769043,-21.445449829101562,-41.55498504638672,-49.60097122192383,-42.981788635253906,-61.85224533081055,-43.5457878112793,-50.28926467895508,-31.916034698486328,-50.21027374267578,-53.0091552734375,-36.52497100830078,-39.29615020751953,
5,5,TrialState.PRUNED,-11.735559463500977,2019-08-07 01:54:37.524123,2019-08-07 01:59:07.103148,64,0.4,7.99159708744152e-06,0.9,0.92,0.0040666950653938435,32,20,5,,-8.143228530883789,-10.772613525390625,-11.007198333740234,-10.374201774597168,-8.687576293945312,-11.239664077758789,-9.091148376464844,-15.988960266113281,-11.735559463500977,,,,,,,,,,,,
6,6,TrialState.PRUNED,7.0666656494140625,2019-08-07 01:58:47.608987,2019-08-07 01:59:53.907819,256,0.2,1.8577490784921672e-06,0.98,0.98,4.743412208473007e-05,256,1,6,,6.488389492034912,6.325127601623535,7.0666656494140625,,,,,,,,,,,,,,,,,,
7,7,TrialState.PRUNED,13.438947677612305,2019-08-07 01:59:07.307232,2019-08-07 02:04:00.131790,64,0.1,3.28515075473326e-06,0.995,0.9,0.025650834317709894,2048,5,7,,4.217736721038818,-1.6364368200302124,19.075769424438477,8.989477157592773,13.438947677612305,,,,,,,,,,,,,,,,
8,8,TrialState.PRUNED,7.64435338973999,2019-08-07 01:59:54.107536,2019-08-07 02:02:43.227124,256,0.3,0.0004948403294040553,0.95,0.95,0.021569177143056173,32,10,8,,-3.0001842975616455,-2.6304142475128174,-3.336977005004883,7.190121650695801,5.570090293884277,7.488324165344238,7.64435338973999,,,,,,,,,,,,,,
9,9,TrialState.PRUNED,-1.2470816373825073,2019-08-07 02:02:43.433583,2019-08-07 02:08:30.538753,32,0.1,9.803415118796231e-05,0.99,0.98,0.0006584970818505349,1024,20,9,,1.2685396671295166,3.4445700645446777,-2.1453933715820312,-4.849875450134277,-0.2084156572818756,-2.7999024391174316,-1.2470816373825073,,,,,,,,,,,,,,
10,10,TrialState.PRUNED,-2.2017176151275635,2019-08-07 02:04:00.332247,2019-08-07 02:08:07.000239,128,0.1,0.00037304247020458135,0.995,0.95,6.405419674802727e-05,256,30,10,,4.413338661193848,2.3570730686187744,-1.7963424921035767,-0.047805238515138626,-2.952749729156494,-2.2017176151275635,,,,,,,,,,,,,,,
11,11,TrialState.PRUNED,7.490983486175537,2019-08-07 02:08:07.194714,2019-08-07 02:13:11.756868,128,0.2,1.6611627904686212e-06,0.999,0.95,0.0236462137620988,2048,5,11,,6.340712547302246,-0.033045075833797455,4.643943786621094,1.4275833368301392,7.490983486175537,,,,,,,,,,,,,,,,
12,12,TrialState.COMPLETE,-3.611025333404541,2019-08-07 02:08:30.754800,2019-08-07 02:15:39.298389,32,0.1,0.00022904597735072302,0.999,0.8,1.1691175450600661e-05,2048,10,12,,4.910383701324463,1.7827575206756592,6.3524627685546875,4.953495025634766,-2.3114893436431885,-3.611025333404541,,,,,,,,,,,,,,,
13,13,TrialState.COMPLETE,-188.8594207763672,2019-08-07 02:13:11.999015,2019-08-07 02:20:17.846761,64,0.2,2.4547250578515455e-08,0.98,0.8,0.003532823036260786,128,5,13,,-4.3042120933532715,-6.6554107666015625,-21.709136962890625,-9.061978340148926,-32.276451110839844,-42.61607360839844,-84.22665405273438,-54.91815948486328,-77.31705474853516,-81.31983184814453,-95.94132232666016,-101.8914566040039,-99.82637023925781,-131.3467254638672,-159.7230987548828,-206.01388549804688,-97.86065673828125,-116.71412658691406,-188.8594207763672,,
14,14,TrialState.PRUNED,3.095984697341919,2019-08-07 02:15:39.311432,2019-08-07 02:17:27.061722,128,0.3,1.1829908421618713e-06,0.99,0.92,3.9900910508086456e-05,64,5,14,,7.3672027587890625,1.9017527103424072,3.4087631702423096,5.785123825073242,3.095984697341919,,,,,,,,,,,,,,,,
15,15,TrialState.PRUNED,-1.609903335571289,2019-08-07 02:17:27.286216,2019-08-07 02:20:09.005847,128,0.4,0.0007035659865299795,0.9999,0.9,2.092847008891181e-05,128,30,15,,3.0039515495300293,2.1166930198669434,4.104645729064941,3.3253707885742188,-1.609903335571289,,,,,,,,,,,,,,,,
