,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0,TrialState.COMPLETE,-9.575602531433105,2019-08-07 01:41:22.552978,2019-08-07 01:46:42.263511,32,0.4,0.010130230408794483,0.999,0.95,0.1664672261412471,2048,5,0,,-6.6112847328186035,-9.902715682983398,-6.1519293785095215,-11.261025428771973,-10.386404037475586,-9.575602531433105,,,,,,,,,,,,,,,
1,1,TrialState.COMPLETE,-107.54400634765625,2019-08-07 01:41:22.553547,2019-08-07 01:47:35.302554,64,0.1,2.4945421193251008e-08,0.995,0.9,0.0003073781785362607,64,10,1,,-12.833516120910645,-16.26418113708496,-18.646244049072266,-15.178117752075195,-19.975650787353516,-30.334457397460938,-37.904579162597656,-39.9250373840332,-46.46275329589844,-37.72190475463867,-52.24970245361328,-40.749839782714844,-49.03411102294922,-90.28260040283203,-72.21806335449219,-86.0888442993164,-132.82498168945312,-109.75545501708984,-107.54400634765625,,
2,2,TrialState.COMPLETE,-14.466133117675781,2019-08-07 01:46:42.266450,2019-08-07 01:50:36.508305,128,0.2,0.030142305558202694,0.9999,0.9,0.006921859910208607,2048,1,2,,-15.510541915893555,-14.694150924682617,-16.97138023376465,-15.483001708984375,-13.770215034484863,-14.466133117675781,,,,,,,,,,,,,,,
3,3,TrialState.COMPLETE,-15.370134353637695,2019-08-07 01:47:35.304891,2019-08-07 01:52:08.381138,32,0.4,0.0027996081984870843,0.9,0.92,0.14557916623227773,128,1,3,,-11.421684265136719,-11.023008346557617,-9.470056533813477,-11.47209644317627,-11.807024002075195,-12.72359848022461,-14.345022201538086,-13.20337200164795,-12.54585075378418,-13.623977661132812,-15.519720077514648,-14.924898147583008,-14.029678344726562,-15.312292098999023,-15.395380020141602,-15.425287246704102,-15.168386459350586,-15.720651626586914,-15.370134353637695,,
4,4,TrialState.COMPLETE,-56.45989990234375,2019-08-07 01:50:36.513994,2019-08-07 01:55:25.267449,256,0.3,0.0029087355177892554,0.95,0.9,0.002029536243043473,16,1,4,,-23.829700469970703,-15.698684692382812,-16.85199546813965,-26.514892578125,-25.41439437866211,-40.44708251953125,-21.08652687072754,-21.785125732421875,-52.99871063232422,-79.2618408203125,-82.23922729492188,-84.2036361694336,-46.94910430908203,-55.798744201660156,-60.773712158203125,-75.53688049316406,-66.13272857666016,-68.5138168334961,-79.8739013671875,-56.45989990234375,
5,5,TrialState.PRUNED,-19.471099853515625,2019-08-07 01:52:08.385531,2019-08-07 01:56:04.598653,64,0.4,7.99159708744152e-06,0.9,0.92,0.0040666950653938435,32,20,5,,-16.486328125,-20.649892807006836,-17.819637298583984,-19.137601852416992,-20.238861083984375,-21.085445404052734,-21.791915893554688,-21.78001594543457,-19.471099853515625,,,,,,,,,,,,
6,6,TrialState.PRUNED,-14.523750305175781,2019-08-07 01:55:25.275315,2019-08-07 01:56:20.978366,256,0.2,1.8577490784921672e-06,0.98,0.98,4.743412208473007e-05,256,1,6,,-11.732922554016113,-16.043176651000977,-14.523750305175781,,,,,,,,,,,,,,,,,,
7,7,TrialState.PRUNED,-14.065702438354492,2019-08-07 01:56:04.812513,2019-08-07 01:58:42.095700,64,0.1,3.28515075473326e-06,0.995,0.9,0.025650834317709894,2048,5,7,,-11.736536979675293,-13.133142471313477,-14.065702438354492,,,,,,,,,,,,,,,,,,
8,8,TrialState.PRUNED,-4.311582088470459,2019-08-07 01:56:21.204151,2019-08-07 01:57:29.023323,256,0.3,0.0004948403294040553,0.95,0.95,0.021569177143056173,32,10,8,,-14.198016166687012,-14.683362007141113,-4.311582088470459,,,,,,,,,,,,,,,,,,
