,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,TrialState.FAIL,5216.50390625,2019-08-07 01:41:22.333546,2019-08-07 01:44:10.865631,32,0.4,0.010130230408794483,0.999,0.95,0.1664672261412471,2048,5,0,Setting status of trial#0 as TrialState.FAIL because of the following error: AssertionError(),5216.50390625,,,,,,,,,,,,,,,,,,,
1,1,TrialState.COMPLETE,-1548.7777099609375,2019-08-07 01:41:22.334129,2019-08-07 01:56:46.326091,64,0.1,2.4945421193251008e-08,0.995,0.9,0.0003073781785362607,64,10,1,,-1577.022216796875,-1582.749755859375,-1599.245361328125,-1580.653564453125,-1566.631591796875,-1653.4697265625,-1598.7093505859375,-1631.50341796875,-1600.7076416015625,-1591.33544921875,-1630.088134765625,-1599.8204345703125,-1577.065185546875,-1568.7142333984375,-1588.1329345703125,-1573.659912109375,-1585.058837890625,-1606.8157958984375,-1548.7777099609375,
2,2,TrialState.COMPLETE,-1343.9271240234375,2019-08-07 01:44:11.042036,2019-08-07 01:52:02.461157,128,0.2,0.030142305558202694,0.9999,0.9,0.006921859910208607,2048,1,2,,9197.751953125,-1224.21533203125,5885.306640625,517.1380615234375,2082.92626953125,-1343.9271240234375,,,,,,,,,,,,,,
3,3,TrialState.COMPLETE,-1440.1776123046875,2019-08-07 01:52:02.464790,2019-08-07 02:04:57.953322,32,0.4,0.0027996081984870843,0.9,0.92,0.14557916623227773,128,1,3,,5922.3525390625,4066.953125,3000.765380859375,-622.3004150390625,556.783203125,-168.07675170898438,978.6279296875,-1469.1427001953125,-1433.976318359375,-1394.5565185546875,-1417.874267578125,-1450.2896728515625,-1411.418212890625,-1410.067138671875,-1405.503173828125,-1390.568603515625,-1379.815185546875,-1417.32568359375,-1440.1776123046875,
4,4,TrialState.COMPLETE,-1533.5653076171875,2019-08-07 01:56:46.333455,2019-08-07 02:11:01.700015,256,0.3,0.0029087355177892554,0.95,0.9,0.002029536243043473,16,1,4,,-1567.068115234375,-1560.781005859375,-1566.842529296875,-1558.284912109375,-1580.052978515625,-1559.0638427734375,-1537.883544921875,-1569.954833984375,-1563.772705078125,-1511.69873046875,-1574.0604248046875,-1640.108154296875,-1576.309326171875,-1541.761474609375,-1550.690185546875,-1575.7032470703125,-1561.3421630859375,-1564.5433349609375,-1543.15771484375,-1533.5653076171875
5,5,TrialState.COMPLETE,-1668.0882568359375,2019-08-07 02:04:57.958286,2019-08-07 02:22:39.502295,64,0.4,7.99159708744152e-06,0.9,0.92,0.0040666950653938435,32,20,5,,-1570.0478515625,-1518.6728515625,-1600.303955078125,-1578.729736328125,-1567.377685546875,-1542.4775390625,-1633.35546875,-1616.366943359375,-1612.887939453125,-1607.31640625,-1655.388671875,-1575.9744873046875,-1572.9342041015625,-1612.9698486328125,-1564.9720458984375,-1617.9034423828125,-1621.137451171875,-1627.723876953125,-1668.0882568359375,
6,6,TrialState.COMPLETE,-1587.2310791015625,2019-08-07 02:11:01.709792,2019-08-07 02:23:57.649805,256,0.2,1.8577490784921672e-06,0.98,0.98,4.743412208473007e-05,256,1,6,,-1585.1339111328125,-1563.8199462890625,-1575.918212890625,-1569.011962890625,-1585.3717041015625,-1555.395263671875,-1594.0447998046875,-1592.818603515625,-1587.26611328125,-1515.617431640625,-1591.66162109375,-1588.731689453125,-1594.4417724609375,-1619.8897705078125,-1631.2021484375,-1587.2310791015625,,,,
7,7,TrialState.COMPLETE,-1443.961669921875,2019-08-07 02:22:39.508471,2019-08-07 02:32:06.473039,64,0.1,3.28515075473326e-06,0.995,0.9,0.025650834317709894,2048,5,7,,-1577.5142822265625,-1440.599365234375,-1416.072998046875,-1481.5855712890625,-1398.9747314453125,-1443.961669921875,,,,,,,,,,,,,,
8,8,TrialState.PRUNED,-1439.7874755859375,2019-08-07 02:23:57.656315,2019-08-07 02:26:37.660783,256,0.3,0.0004948403294040553,0.95,0.95,0.021569177143056173,32,10,8,,-1497.745849609375,-1429.65966796875,-1439.7874755859375,,,,,,,,,,,,,,,,,
9,9,TrialState.COMPLETE,-1583.3629150390625,2019-08-07 02:26:37.860862,2019-08-07 02:42:48.262899,32,0.1,9.803415118796231e-05,0.99,0.98,0.0006584970818505349,1024,20,9,,-1571.32958984375,-1617.548095703125,-1556.8431396484375,-1559.787109375,-1564.5794677734375,-1552.630615234375,-1572.2662353515625,-1665.2054443359375,-1613.9193115234375,-1618.469482421875,-1585.8492431640625,-1583.3629150390625,,,,,,,,
10,10,TrialState.COMPLETE,-1548.205322265625,2019-08-07 02:32:06.481686,2019-08-07 02:50:53.924700,128,0.1,0.00037304247020458135,0.995,0.95,6.405419674802727e-05,256,30,10,,-1549.154541015625,-1571.344970703125,-1571.1578369140625,-1611.5579833984375,-1570.762939453125,-1578.0516357421875,-1585.433837890625,-1614.7720947265625,-1602.971923828125,-1587.346435546875,-1628.77197265625,-1552.660400390625,-1647.842529296875,-1610.1070556640625,-1542.410400390625,-1548.205322265625,,,,
11,11,TrialState.COMPLETE,-1418.323974609375,2019-08-07 02:42:48.270211,2019-08-07 02:52:18.642434,128,0.2,1.6611627904686212e-06,0.999,0.95,0.0236462137620988,2048,5,11,,-1570.5872802734375,-1469.771728515625,-1476.128662109375,-1459.541259765625,-1399.931884765625,-1418.323974609375,,,,,,,,,,,,,,
12,12,TrialState.COMPLETE,-1592.663818359375,2019-08-07 02:50:53.934418,2019-08-07 03:01:16.784844,32,0.1,0.00022904597735072302,0.999,0.8,1.1691175450600661e-05,2048,10,12,,-1639.751953125,-1613.9581298828125,-1588.0235595703125,-1616.789794921875,-1591.1839599609375,-1592.663818359375,,,,,,,,,,,,,,
13,13,TrialState.COMPLETE,-1551.825927734375,2019-08-07 02:52:18.651694,2019-08-07 03:07:11.343029,64,0.2,2.4547250578515455e-08,0.98,0.8,0.003532823036260786,128,5,13,,-1612.043212890625,-1578.131103515625,-1625.746826171875,-1547.0352783203125,-1590.083251953125,-1627.224609375,-1636.389404296875,-1554.22119140625,-1599.3154296875,-1540.9840087890625,-1588.179931640625,-1567.082763671875,-1542.3675537109375,-1589.646728515625,-1562.6732177734375,-1559.3631591796875,-1595.728759765625,-1572.937744140625,-1551.825927734375,
14,14,TrialState.COMPLETE,-1580.017578125,2019-08-07 03:01:16.795569,2019-08-07 03:16:24.308855,128,0.3,1.1829908421618713e-06,0.99,0.92,3.9900910508086456e-05,64,5,14,,-1558.3614501953125,-1596.80859375,-1601.19482421875,-1591.899658203125,-1624.0751953125,-1596.9620361328125,-1542.786376953125,-1635.9644775390625,-1549.1236572265625,-1545.5234375,-1560.4229736328125,-1555.7332763671875,-1597.2752685546875,-1573.645263671875,-1565.3453369140625,-1556.69873046875,-1538.671630859375,-1641.8482666015625,-1580.017578125,
15,15,TrialState.PRUNED,-1546.748046875,2019-08-07 03:07:11.352512,2019-08-07 03:14:58.527333,128,0.4,0.0007035659865299795,0.9999,0.9,2.092847008891181e-05,128,30,15,,-1560.318115234375,-1537.3321533203125,-1602.862548828125,-1598.764404296875,-1573.3336181640625,-1566.006591796875,-1574.072509765625,-1546.748046875,,,,,,,,,,,,
16,16,TrialState.COMPLETE,-1579.82275390625,2019-08-07 03:14:58.725877,2019-08-07 03:33:20.083650,128,0.3,0.0001075537281247823,0.9999,0.8,2.949188649641697e-05,128,20,16,,-1572.034912109375,-1643.092529296875,-1553.629150390625,-1552.0599365234375,-1600.99951171875,-1570.826904296875,-1552.379638671875,-1570.960205078125,-1580.523681640625,-1568.0814208984375,-1584.1558837890625,-1559.787109375,-1576.8212890625,-1588.380126953125,-1587.2169189453125,-1593.219970703125,-1530.4019775390625,-1554.5838623046875,-1579.82275390625,
17,17,TrialState.PRUNED,-1500.796630859375,2019-08-07 03:16:24.320191,2019-08-07 03:19:27.555619,256,0.3,0.007757161518964252,0.99,1.0,0.017213560129739302,64,20,17,,-1482.439453125,-1498.4039306640625,-1500.796630859375,,,,,,,,,,,,,,,,,
18,18,TrialState.PRUNED,-1584.967041015625,2019-08-07 03:19:27.749711,2019-08-07 03:29:24.878069,128,0.1,3.87843617778819e-06,0.9,0.92,6.67885940304771e-05,128,50,18,,-1574.7667236328125,-1544.8216552734375,-1582.11865234375,-1569.184814453125,-1550.0606689453125,-1553.38818359375,-1588.4765625,-1584.967041015625,,,,,,,,,,,,
19,19,TrialState.PRUNED,-1563.1068115234375,2019-08-07 03:29:25.072160,2019-08-07 03:33:13.538484,256,0.1,1.0789875507713825e-05,0.98,0.8,0.0002769377664622523,1024,20,19,,-1567.7607421875,-1536.2684326171875,-1563.1068115234375,,,,,,,,,,,,,,,,,
