,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,TrialState.COMPLETE,-6.5611891746521,2019-06-09 18:48:14.705323,2019-06-09 18:50:04.940155,32,0.4,0.010130230408794483,0.999,0.95,0.1664672261412471,2048,5,0,,-9.393548965454102,-7.970655918121338,-6.5611891746521,,,,,,,,,,,,,,,,
1,1,TrialState.COMPLETE,-269.6383056640625,2019-06-09 18:48:14.705872,2019-06-09 18:50:52.068073,64,0.1,2.4945421193251008e-08,0.995,0.9,0.0003073781785362607,64,10,1,,-18.082433700561523,-16.74234962463379,-16.58550453186035,-18.650863647460938,-17.89205551147461,-25.774578094482422,-35.979820251464844,-36.477272033691406,-30.0657901763916,-54.01880645751953,-71.23039245605469,-65.85816192626953,-259.1209716796875,-386.74090576171875,-202.3935089111328,-288.8526611328125,-327.8102111816406,-327.01019287109375,-269.6383056640625
2,2,TrialState.COMPLETE,-19.459346771240234,2019-06-09 18:50:04.943559,2019-06-09 18:51:41.478963,128,0.2,0.030142305558202694,0.9999,0.9,0.006921859910208607,2048,1,2,,-17.672861099243164,-18.42413902282715,-19.459346771240234,,,,,,,,,,,,,,,,
3,3,TrialState.COMPLETE,-13.514299392700195,2019-06-09 18:50:52.071933,2019-06-09 18:52:34.286345,32,0.4,0.0027996081984870843,0.9,0.92,0.14557916623227773,128,1,3,,-11.863866806030273,-6.620806694030762,-6.681078910827637,-13.080175399780273,-5.493000030517578,-9.741632461547852,-5.319295406341553,-10.37492847442627,-12.67753791809082,-14.020027160644531,-13.407676696777344,-14.238737106323242,-11.305227279663086,-13.571924209594727,-13.475939750671387,-13.514299392700195,,,
4,4,TrialState.COMPLETE,-86.33058166503906,2019-06-09 18:51:41.483621,2019-06-09 18:53:41.456224,256,0.3,0.0029087355177892554,0.95,0.9,0.002029536243043473,16,1,4,,-17.493106842041016,-16.375200271606445,-16.731603622436523,-16.75992202758789,-16.5981502532959,-18.064847946166992,-19.20023536682129,-43.958152770996094,-57.31586837768555,-86.50678253173828,-65.88999938964844,-56.04627227783203,-83.64728546142578,-83.6540756225586,-90.67658996582031,-85.173583984375,-116.06404113769531,-117.98783111572266,-86.33058166503906
5,5,TrialState.PRUNED,-51.325347900390625,2019-06-09 18:52:34.291173,2019-06-09 18:54:12.651749,64,0.4,7.99159708744152e-06,0.9,0.92,0.0040666950653938435,32,20,5,,-17.71392250061035,-21.256866455078125,-31.26214599609375,-60.22198486328125,-65.94574737548828,-70.1875,-65.8783950805664,-48.48754119873047,-52.294403076171875,-41.545570373535156,-72.25386047363281,-70.00177001953125,-51.325347900390625,,,,,,
6,6,TrialState.PRUNED,-17.30124282836914,2019-06-09 18:53:41.461619,2019-06-09 18:54:35.440362,256,0.2,1.8577490784921672e-06,0.98,0.98,4.743412208473007e-05,256,1,6,,-16.825904846191406,-16.236957550048828,-17.90676498413086,-16.927541732788086,-15.124567985534668,-17.30124282836914,,,,,,,,,,,,,
7,7,TrialState.COMPLETE,-14.841466903686523,2019-06-09 18:54:12.735825,2019-06-09 18:55:56.535436,64,0.1,3.28515075473326e-06,0.995,0.9,0.025650834317709894,2048,5,7,,-16.872867584228516,-16.0335636138916,-14.841466903686523,,,,,,,,,,,,,,,,
8,8,TrialState.PRUNED,-22.20731544494629,2019-06-09 18:54:35.545244,2019-06-09 18:55:28.590107,256,0.3,0.0004948403294040553,0.95,0.95,0.021569177143056173,32,10,8,,-19.850322723388672,-18.790081024169922,-22.038875579833984,-16.276565551757812,-22.217117309570312,-21.839548110961914,-21.976694107055664,-22.20731544494629,,,,,,,,,,,
9,9,TrialState.COMPLETE,-16.495223999023438,2019-06-09 18:55:28.695747,2019-06-09 18:57:52.272780,32,0.1,9.803415118796231e-05,0.99,0.98,0.0006584970818505349,1024,20,9,,-16.529050827026367,-16.382104873657227,-18.092180252075195,-16.975914001464844,-16.281679153442383,-16.495223999023438,,,,,,,,,,,,,
10,10,TrialState.PRUNED,-18.07260513305664,2019-06-09 18:55:56.543380,2019-06-09 18:57:11.453259,128,0.1,0.00037304247020458135,0.995,0.95,6.405419674802727e-05,256,30,10,,-16.923686981201172,-18.090240478515625,-18.320587158203125,-14.047314643859863,-16.667842864990234,-17.345867156982422,-18.07260513305664,,,,,,,,,,,,
11,11,TrialState.COMPLETE,-20.143230438232422,2019-06-09 18:57:11.539754,2019-06-09 18:58:58.265314,128,0.2,1.6611627904686212e-06,0.999,0.95,0.0236462137620988,2048,5,11,,-17.68029022216797,-18.208511352539062,-20.143230438232422,,,,,,,,,,,,,,,,
12,12,TrialState.COMPLETE,-17.400768280029297,2019-06-09 18:57:52.281207,2019-06-09 18:59:49.882513,32,0.1,0.00022904597735072302,0.999,0.8,1.1691175450600661e-05,2048,10,12,,-15.090624809265137,-16.542503356933594,-17.400768280029297,,,,,,,,,,,,,,,,
