,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,fail_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0,TrialState.PRUNED,-7.531367301940918,2019-06-10 15:29:57.399421,2019-06-10 15:51:03.655528,32,0.3,6.519019512817796e-05,0.999,0.8,0.1664672261412471,2048,10,0,,-7.034370422363281,-9.144735336303711,-7.531367301940918,,,,,,,,,,,,,,,,,,,
1,1,TrialState.COMPLETE,-16.707355499267578,2019-06-10 15:29:57.399768,2019-06-10 15:47:18.807241,256,0.4,0.004039943243834789,0.9999,0.95,0.006921859910208607,128,1,1,,-18.212289810180664,-18.813671112060547,-17.775035858154297,-24.838266372680664,-15.454154968261719,-2.895303249359131,-1.7739839553833008,-6.758744716644287,-5.26251745223999,-14.141258239746094,-15.506243705749512,-14.7853364944458,-15.265909194946289,-15.576251029968262,-15.77466106414795,-16.707355499267578,,,,,,
2,2,TrialState.COMPLETE,-30.31201171875,2019-06-10 15:29:57.399881,2019-06-10 15:49:05.040601,64,0.1,0.00204319289758935,0.9999,0.99,5.032153752306311e-05,256,30,2,,-16.089693069458008,-17.046039581298828,-16.8968448638916,-17.275901794433594,-18.636781692504883,-20.6070499420166,-20.935054779052734,-22.23854637145996,-21.117015838623047,-22.829166412353516,-21.549392700195312,-30.31201171875,,,,,,,,,,
3,3,TrialState.COMPLETE,-786.7403564453125,2019-06-10 15:29:57.399989,2019-06-10 16:30:36.631589,64,0.1,6.728542208135227e-08,0.995,0.98,0.0004863857046189466,16,20,3,,-19.908355712890625,-25.347436904907227,-36.85373306274414,-122.8562240600586,-152.15536499023438,-284.7513427734375,-622.512451171875,-643.5663452148438,-660.9615478515625,-682.4429931640625,-686.6224365234375,-693.4505615234375,-704.8479614257812,-722.281494140625,-529.2020263671875,-733.8119506835938,-744.9761962890625,-741.0848388671875,-751.5599975585938,-781.2095947265625,-786.7403564453125,
4,4,TrialState.COMPLETE,-22.22930335998535,2019-06-10 15:29:57.400152,2019-06-10 15:47:36.609420,256,0.4,0.0005925733197263158,0.99,0.99,0.0023334693280262697,2048,50,4,,-16.8796329498291,-17.678768157958984,-22.22930335998535,,,,,,,,,,,,,,,,,,,
5,5,TrialState.COMPLETE,-515.9208984375,2019-06-10 15:29:57.400257,2019-06-10 16:17:46.333066,32,0.1,4.954073578738671e-08,0.99,0.9,0.0019087614756145956,32,5,5,,-16.73453712463379,-19.999614715576172,-30.34130859375,-56.9674186706543,-152.81564331054688,-503.87225341796875,-452.68243408203125,-526.2020874023438,-530.1947021484375,-669.8659057617188,-567.0949096679688,-689.6357421875,-656.76123046875,-675.8681030273438,-702.1896362304688,-570.4686279296875,-592.1233520507812,-704.192138671875,-515.9208984375,,,
6,6,TrialState.PRUNED,-35.186378479003906,2019-06-10 15:29:57.400361,2019-06-10 15:49:24.584332,32,0.1,5.140189664168099e-07,0.9,1.0,0.00011269711680133673,16,10,6,,-16.949848175048828,-15.461316108703613,-16.3532772064209,-16.974506378173828,-16.464948654174805,-16.700397491455078,-16.117156982421875,-16.730836868286133,-17.0107421875,-17.29832649230957,-17.964004516601562,-17.25898551940918,-17.513301849365234,-15.705131530761719,-18.15097427368164,-21.27935791015625,-26.858455657958984,-27.183813095092773,-35.186378479003906,,,
7,7,TrialState.PRUNED,-18.108306884765625,2019-06-10 15:29:57.400463,2019-06-10 15:49:33.247883,64,0.2,3.5154052469220238e-06,0.95,0.92,5.6024028712637395e-05,512,50,7,,-18.357534408569336,-13.641952514648438,-17.927536010742188,-17.62481117248535,-14.944841384887695,-17.720340728759766,-17.504207611083984,-16.982336044311523,-17.103275299072266,-18.420711517333984,-18.108306884765625,,,,,,,,,,,
8,8,TrialState.PRUNED,-11.389656066894531,2019-06-10 15:29:57.400562,2019-06-10 15:49:21.633281,256,0.1,0.051599427173457474,0.995,0.9,0.52328753842948,64,10,8,,-13.1378755569458,-13.142290115356445,-9.359803199768066,-13.470416069030762,-9.97333812713623,-12.787813186645508,-8.626273155212402,-12.481600761413574,-7.679898738861084,-14.2543363571167,-11.616276741027832,-9.9957914352417,-11.59199333190918,-10.731945991516113,-8.911331176757812,-12.096033096313477,-9.91381549835205,-11.389656066894531,,,,
