,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values,intermediate_values
,,,,,,batch_size,cliprange,ent_coef,gamma,lamdba,lr,n_steps,noptepochs,_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,TrialState.COMPLETE,-6.200454235076904,2019-06-10 12:26:04.187804,2019-06-10 12:44:45.498532,32,0.4,0.010130230408794483,0.999,0.95,0.1664672261412471,2048,5,0,-9.996567726135254,-9.166383743286133,-6.846052646636963,-12.116533279418945,-3.293177843093872,-5.273885726928711,-11.052572250366211,-11.493616104125977,-8.859097480773926,-9.988237380981445,-10.523200988769531,-8.171451568603516,-6.777670383453369,-6.255256175994873,-6.200454235076904,,,,,
1,1,TrialState.COMPLETE,-723.7567749023438,2019-06-10 12:26:04.188369,2019-06-10 12:47:34.163658,64,0.1,2.4945421193251008e-08,0.995,0.9,0.0003073781785362607,64,10,1,-47.12168502807617,-487.64794921875,-541.2805786132812,-627.2535400390625,-626.4157104492188,-623.3955688476562,-640.7527465820312,-659.8538208007812,-665.6767578125,-678.2931518554688,-688.8060302734375,-699.8690185546875,-707.1041870117188,-716.3270263671875,-717.9356689453125,-719.7130737304688,-720.2733154296875,-717.2063598632812,-723.7567749023438,
2,2,TrialState.COMPLETE,-514.869140625,2019-06-10 12:44:45.501784,2019-06-10 13:00:56.673388,128,0.2,0.030142305558202694,0.9999,0.9,0.006921859910208607,2048,1,2,-17.631595611572266,-17.917476654052734,-19.1291561126709,-36.0901985168457,-50.151512145996094,-57.4956169128418,-65.97474670410156,-95.53236389160156,-114.41490173339844,-355.770263671875,-665.4608764648438,-545.6780395507812,-439.8981018066406,-513.85986328125,-514.869140625,,,,,
3,3,TrialState.COMPLETE,-15.467147827148438,2019-06-10 12:47:34.166933,2019-06-10 13:04:57.102735,32,0.4,0.0027996081984870843,0.9,0.92,0.14557916623227773,128,1,3,-1.6901096105575562,-12.092544555664062,-13.665964126586914,-14.912951469421387,-15.339834213256836,-15.16169261932373,-15.382410049438477,-15.824999809265137,-15.815045356750488,-13.505172729492188,-15.36536979675293,-15.019838333129883,-15.193285942077637,-15.40660572052002,-15.607029914855957,-15.640142440795898,-15.8909330368042,-12.309806823730469,-15.467147827148438,
4,4,TrialState.COMPLETE,-109.89195251464844,2019-06-10 13:00:56.678663,2019-06-10 13:18:37.367448,256,0.3,0.0029087355177892554,0.95,0.9,0.002029536243043473,16,1,4,-44.92594909667969,-95.98236846923828,-99.76175689697266,-93.65293884277344,-108.4940414428711,-81.51820373535156,-122.79583740234375,-119.7680892944336,-130.62799072265625,-108.06143951416016,-134.01119995117188,-155.51412963867188,-171.61749267578125,-194.24667358398438,-66.83491516113281,-149.415771484375,-152.35079956054688,-172.46078491210938,-166.2595977783203,-109.89195251464844
5,5,TrialState.PRUNED,-19.527606964111328,2019-06-10 13:04:57.108185,2019-06-10 13:19:25.739539,64,0.4,7.99159708744152e-06,0.9,0.92,0.0040666950653938435,32,20,5,-20.730859756469727,-21.09317398071289,-20.742340087890625,-20.851877212524414,-18.265979766845703,-19.94332504272461,-19.986345291137695,-19.525957107543945,-19.754013061523438,-19.311565399169922,-20.03282356262207,-19.527606964111328,,,,,,,,
6,6,TrialState.PRUNED,-15.599884033203125,2019-06-10 13:18:37.375046,2019-06-10 13:21:17.462177,256,0.2,1.8577490784921672e-06,0.98,0.98,4.743412208473007e-05,256,1,6,-16.33796501159668,-15.937952995300293,-15.599884033203125,,,,,,,,,,,,,,,,,
7,7,TrialState.PRUNED,-18.4925479888916,2019-06-10 13:19:25.825921,2019-06-10 13:22:48.025585,64,0.1,3.28515075473326e-06,0.995,0.9,0.025650834317709894,2048,5,7,-17.57406234741211,-17.273860931396484,-18.4925479888916,,,,,,,,,,,,,,,,,
8,8,TrialState.PRUNED,-20.611555099487305,2019-06-10 13:21:17.573807,2019-06-10 13:29:53.338360,256,0.3,0.0004948403294040553,0.95,0.95,0.021569177143056173,32,10,8,-62.80206298828125,-69.91188049316406,-77.00941467285156,-20.59532928466797,-19.623483657836914,-20.09818458557129,-16.43962860107422,-20.611555099487305,,,,,,,,,,,,
